date	cad_us	aud_us	cny_us	eur_us	jpy_us
19900612	0.5018358484	0.4728992944	0.9997687482	0.5092845085	0.0310462334
19900613	0.5019921557	0.4735407312	0.9997687482	0.5056486171	0.0299609045
19900614	0.5037132979	0.4738614496	0.9997687482	0.5161667316	0.0337099321
19900615	0.5030870541	0.4756254009	0.9997687482	0.5078561226	0.0347431663
19900618	0.4977811978	0.4810776139	0.9997687482	0.5235683677	0.0367553842
19900619	0.4994944348	0.487491982	1	0.5286326451	0.0373056722
19900620	0.5021484897	0.4870109044	0.9997687482	0.523698221	0.0347431663
19900621	0.4959158671	0.4972738935	0.9997687482	0.5238280743	0.0295996892
19900622	0.4923512687	0.4924631174	0.9997687482	0.5255161667	0.0292988902
19900625	0.4938993829	0.4924631174	0.9997687482	0.5231788079	0.0261820574
19900626	0.5034001225	0.4919820398	0.9997687482	0.5294117647	0.0303826767
19900627	0.5060655273	0.4905388069	0.9997687482	0.5352551617	0.0315294136
19900628	0.5063796139	0.4927838358	0.9997687482	0.5325282431	0.0396362407
19900629	0.5160111326	0.5036882617	0.9997687482	0.5313595637	0.0453890869
19900702	0.5179177598	0.5084990378	0.9997687482	0.5443448903	0.0542464774
19900703	0.5180768231	0.5123476588	0.9997687482	0.5496688742	0.053359621
19900704	0.5177587238	0.519563823	0.9997687482	0.5568108038	0.0605008779
19900705	0.5153764641	0.5118665811	0.9997687482	0.5534346189	0.0558978724
19900706	0.5187133504	0.5093008339	0.9997687482	0.5503181405	0.0489499007
19900709	0.523981475	0.5197241822	0.9997687482	0.5573302169	0.0520955331
19900710	0.5263860132	0.5327132777	0.9997687482	0.5625243475	0.0707586286
19900711	0.5227015993	0.512508018	0.9997687482	0.5540838852	0.0693172509
19900712	0.5267070895	0.5089801155	0.9997687482	0.5456434229	0.0766999932
19900713	0.5251028173	0.480436177	0.9997687482	0.562264641	0.0712181463
19900716	0.5236613404	0.4895766517	0.9997687482	0.5533047656	0.0715466392
19900717	0.5321824265	0.5043296985	0.9997687482	0.5592780158	0.0734562794
19900718	0.5304074643	0.4977549711	0.9997687482	0.5638228801	0.0738523131
19900719	0.5325055108	0.4847658756	0.9997687482	0.5657706791	0.0715466392
19900720	0.5284749961	0.4908595253	0.9997687482	0.5649915595	0.0684675338
19900723	0.5273495754	0.4924631174	0.9997687482	0.5800545384	0.0716123644
19900724	0.5271889123	0.4903784477	0.9997687482	0.5840799896	0.0672934538
19900725	0.5318594543	0.487491982	0.9997687482	0.5845994027	0.060308203
19900726	0.5328287072	0.4836433611	0.9997687482	0.58330087	0.0569807182
19900727	0.5331520157	0.5	0.9997687482	0.5923905986	0.0658623195
19900730	0.5349322201	0.501603592	0.9997687482	0.5978444358	0.073060567
19900731	0.5346082937	0.5057729314	0.9997687482	0.619919491	0.0874435927
19900801	0.5337989695	0.5064143682	0.9997687482	0.6144656538	0.0775641945
19900802	0.5359046751	0.4956703015	0.9997687482	0.6149850669	0.0642411518
19900803	0.536715829	0.4916613214	0.9997687482	0.6131671212	0.0635942044
19900806	0.538015143	0.4956703015	0.9997687482	0.6342033502	0.0571720629
19900807	0.5352562592	0.5001603592	0.9997687482	0.6295286326	0.0538661945
19900808	0.5407821985	0.5067350866	0.9997687482	0.6200493442	0.0606936301
19900809	0.5427403538	0.5150737652	0.9997687482	0.6196597844	0.0610150552
19900810	0.5424137101	0.5105837075	0.9997687482	0.6203090508	0.0565345442
19900813	0.543557462	0.5192431046	0.9997687482	0.6374496819	0.0568531976
19900814	0.5469971152	0.5238935215	0.9997687482	0.6456304376	0.0671631758
19900815	0.5476537194	0.5253367543	0.9997687482	0.6534216336	0.0750423462
19900816	0.5399675083	0.5238935215	0.9997687482	0.6482275029	0.0775641945
19900817	0.5473253599	0.5280628608	0.9997687482	0.6618620958	0.0747114904
19900820	0.5496262905	0.5285439384	0.9997687482	0.6540708999	0.0825799263
19900821	0.5534186575	0.5396087235	0.9997687482	0.642903519	0.0813714718
19900822	0.5622161113	0.5463438101	0.9997687482	0.6500454486	0.0840609658
19900823	0.5643865407	0.5695958948	0.9997687482	0.6573172315	0.0837239748
19900824	0.572780945	0.5622193714	0.9997687482	0.6641994546	0.0817068559
19900827	0.5476537194	0.5598139833	0.9997687482	0.6661472536	0.0983562954
19900828	0.550120081	0.5638229634	0.9997687482	0.6631606285	0.1015584686
19900829	0.5573922564	0.5673508659	0.9997687482	0.661472536	0.1014188174
19900830	0.5420871802	0.5404105196	0.9997687482	0.6486170627	0.096901218
19900831	0.5267070895	0.5370429763	0.9997687482	0.63459291	0.1012094136
19900903	0.5321824265	0.5351186658	0.9997687482	0.6245942085	0.1024671495
19900904	0.5211042371	0.5440987813	0.9997687482	0.6251136216	0.103868338
19900905	0.5334754364	0.5580500321	0.9997687482	0.6443319049	0.1160100275
19900906	0.5257441935	0.554842848	0.9997687482	0.6516036878	0.1234659355
19900907	0.5163286306	0.5481077614	0.9997687482	0.6410855733	0.1277126732
19900910	0.5093688029	0.5306286081	0.9997687482	0.6252434749	0.1305141426
19900911	0.519987721	0.5440987813	0.9997687482	0.6183612518	0.128448427
19900912	0.5142668433	0.5424951892	0.9997687482	0.6208284638	0.1416475085
19900913	0.512367737	0.5569275176	0.9997687482	0.6157641865	0.1554216698
19900914	0.514108435	0.554041052	0.9997687482	0.6379690949	0.1525607068
19900917	0.5257441935	0.568954458	0.9997687482	0.6582262044	0.1537186887
19900918	0.5236613404	0.5643040411	0.9969975319	0.6612128295	0.1435390881
19900919	0.5251028173	0.5614175754	0.9997687482	0.6417348396	0.1468086951
19900920	0.5328287072	0.5570878768	0.9997687482	0.6308271653	0.1453614668
19900921	0.5328287072	0.5625400898	0.9997687482	0.6316062849	0.154105248
19900924	0.5393162667	0.5639833226	0.9997687482	0.6532917803	0.1487190475
19900925	0.5352562592	0.5655869147	0.9997687482	0.6482275029	0.1525607068
19900926	0.5284749961	0.563502245	0.9997687482	0.6357615894	0.1515591755
19900927	0.5273495754	0.5583707505	0.9997687482	0.6300480457	0.1416475085
19900928	0.5287967953	0.5554842848	0.9997687482	0.6339436437	0.139010767
19901001	0.5321824265	0.5633418858	0.9997687482	0.6508245682	0.1538732785
19901002	0.5328287072	0.5630211674	0.9997687482	0.6530320738	0.1526378266
19901003	0.5346082937	0.568954458	0.9997687482	0.6644591611	0.1591564034
19901004	0.5393162667	0.5676715843	0.9997687482	0.6709518244	0.1772628178
19901005	0.5325055108	0.5721616421	0.9997687482	0.6601740034	0.1884428217
19901008	0.5352562592	0.5721616421	0.9997687482	0.6783534606	0.2017965772
19901009	0.5362290521	0.5662283515	0.9997687482	0.691728347	0.2038279025
19901010	0.5389908159	0.5481077614	0.9997687482	0.6871834827	0.2118564382
19901011	0.5427403538	0.5412123156	0.9997687482	0.6940657058	0.2110827055
19901012	0.5427403538	0.5426555484	0.9997687482	0.6956239449	0.2150486733
19901015	0.530729933	0.4975946119	0.9997687482	0.6930268796	0.2265878106
19901016	0.5273495754	0.4975946119	0.9997687482	0.7027658746	0.2371967803
19901017	0.5015233138	0.4759461193	0.9997687482	0.7013374886	0.2511335506
19901018	0.5049670699	0.464720975	0.9997687482	0.7027658746	0.2568787062
19901019	0.5016795678	0.478030789	0.9997687482	0.7125048695	0.2425309964
